ID;primäres_Label_viecpro;field_3;kind;Latitude;Longitude;notes;references_p_lucienfeld_harrer;URI_wien_wiki;URI_p_lucienfeld_harrer;alternatives_label_adress_neu;alternatives_label_adress1822;alternatives_label_suttingerstadtplan;alternatives_Label_Datensammlung;alternatives_Label_Feld;Stadtviertel;ist_Teil_von;GeoNames_Link;Access_Excel_Zitierweise
84;Am Hof, Zu den fünf Kronen;"Am Hof, Zu den fünf Kronen;Am Hof, Zu den drei Kronen";Wohnadresse;48.2116801;16.3688731;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 490. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Drahtgasse_3&oldid=510316;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281966;Drahtgasse 3;341;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Am Hof, fünf Kronen, ksl. Hofquartier;Am Hof, bei den 5 Kronen"
85;Judenplatz, Zeyhlisches Haus;Judenplatz, Zeyhlisches Haus;Wohnadresse;48.2119368;16.3692066;ab 1694 Maria Anna Gfin. Zeyhl;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,2, Wien: Selbstverlag, 1952, S. 411. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Misrachihaus&oldid=508616;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281872;Judenplatz 8;343;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Judenplatz, Zeyhlisches Haus;Judenplatz, Graf Zeilsches Haus"
86;Wipplingerstraße, Wagnerhaus;Wipplingerstraße, Wagnerhaus;Wohnadresse;48.2123683;16.3692459;ab 1687 Michael Pölzl, Wagnermeister;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 527. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wipplingerstra%C3%9Fe_17&oldid=511386;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282003;Wipplingerstraße 17;351;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;Hohe Brücke, Wagnerisches Haus
87;Klugerstraße, Zum roten Säbel;"Klugerstraße, Zum roten Säbel;Färbergasse, Zum roten Säbel";Wohnadresse;48.212436;16.3690407;"hier Klugerstraße falsch; richtig ist der rote Säbel in der Wipplingerstraße";Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 5,2, Wien: Selbstverlag, 1950, S. 530. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Sabelkeller&oldid=785525;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282006;Wipplingerstraße 19;352;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;Klugerstraße, beim roten Säbel
88;Hohe Brücke, Stadtanwaltshaus;"Hohe Brücke, Stadtanwaltshaus;Am Gestade, Holzmannisches Haus";Wohnadresse;48.2126862;16.3690725;ab 1694 Johann Werner Kleinhans von Sonnenfeldt, kaiserl. Rat und Stadtanwalt;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 608. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wipplingerstra%C3%9Fe_20&oldid=511236;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282084;Wipplingerstraße 20;355;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Hohe Brücke, Stadtanwaltisches Haus
89;Am Gestade, Fürttisches Haus;Am Gestade, Fürttisches Haus;Wohnadresse;48.212747;16.369656;ab 1682 Johann Fürtt, Rat des Inneren;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 831. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Passauer_Platz_3&oldid=511101;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282727;Schwertgasse 3;357;Joh. Füerth;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Am Gestade (Unser Frauenstiege), Fürth, Johann, Haus;Hohe Brücke, Fürtt, Johann, Haus"
90;Wipplingerstraße, Herbersteinisches Haus;Wipplingerstraße, Herbersteinisches Haus;Wohnadresse;48.2122851;16.3697631;ab 1686 Ferdinand Ernst Gf. Herberstein;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 599. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wipplingerstra%C3%9Fe_14&oldid=511380;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282075;Wipplingerstraße 14;361;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Wipplingerstraße, Herbersteinisches Haus;Hohe Brücke, Herbersteinisches Haus"
91;Beim Stoß im Himmel;"Beim Stoß im Himmel;Am Gestade, Bartolottisches Haus";Wohnadresse;48.2124419;16.3707227;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 788. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Sto%C3%9F-im-Himmel-Haus&oldid=511304;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282709;Stoß im Himmel 3;364;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"beim Stoß in Himmel;beim Stoß im Himmel;beim Stoß im Himmel, eH"
92;Salvatorgasse, Zum großen Christoph;Salvatorgasse, Zum großen Christoph;Wohnadresse;48.2122649;16.3714629;ab 1685 Johann Joachim von Aichen, nö. Regimentsrat;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 831. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Salvatorgasse_10&oldid=510922;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282752;Salvatorgasse 10;368;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"großer Christoph, beim, eH;Salvatorgasse, beim großen Christoph, eH;beim großen Christoph"
93;Fischerstiege, Binderisches Haus;"Fischerstiege, Binderisches Haus;Fischerstiege, Fruethisches Haus;Fischerstiege, Goldthannisches Haus;Fischerstiege, Stänglisches Haus";Wohnadresse;48.212413;16.3717701;"ab 1652 Hanns Stängl, Binder; ab 1690 Johann Frueth, Zwetschkenhändler; ab 1705 Johann Adam Goldthann";Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 839. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Fischerstiege_3&oldid=510410;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282760;Fischerstiege 3;369;;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Fischerstiege, auf der, Bindershaus
94;Fischerstiege, Frühwirthisches Haus;"Fischerstiege, Frühwirthisches Haus;Fischerstiege, Bildhauerisches Haus;Fischerstiege, Raschisches Haus";Wohnadresse;48.2125568;16.3720234;ab 1670 Johan Frühwirth, Hofbildhauer;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 854. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Fischerstiege_6&oldid=510541;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282775;Fischerstiege 4-8;375;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Fischerstiege, Fruhewürtisches Haus
95;Fischerstiege, Baderisches Haus;Fischerstiege, Baderisches Haus;Wohnadresse;48.2124194;16.3720212;"auch ""Stephansbad"" genannt, durchgehend im Besitz von Wundärzten und Badern";Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 851. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Fischerstiege_4&oldid=510602;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282772;Fischerstiege 4;376;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Fischerstiege, Baderisches Haus
96;Salvatorgasse, Zeisisches Haus;Salvatorgasse, Zeisisches Haus;Wohnadresse;48.2120293;16.3717816;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,2, Wien: Selbstverlag, 1952, S. 420. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Salvatorgasse_8&oldid=511028;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282747;Salvatorgasse 8;378;;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;Unser Herr, Zeißisches Haus
97;Karmeliterhaus;Karmeliterhaus;Wohnadresse;48.2118393;16.3720872;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,4, Wien: Selbstverlag, 1953, S. 820. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Salvatorgasse_6&oldid=510954;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282741;Salvatorgasse 6;379;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Karmeliterhaus;Karmeliter Haus"
98;Salvatorgasse, Zum schwarzen Stiefel;Salvatorgasse, Zum schwarzen Stiefel;Wohnadresse;48.2115856;16.3721416;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 442. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Hoher_Markt_7&oldid=510640;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278788;Salvatorgasse 1;382;;HSV-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"beim Schwarzen Stiefel;Salvatorgasse, beim schwarzen Stiefel, eH"
99;Judenplatz, Zum schwarzen Stern;"Judenplatz, Zum schwarzen Stern;Böhm. Hofkanzlei";Wohnadresse;48.2115648;16.3702144;mit dem Neubau bzw. den Erweiterungsbauten der Böhm. Hofkanzlei 1 H. 18. Jh. abgerissen;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,2, Wien: Selbstverlag, 1952, S. 420. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=B%C3%B6hmische_Hofkanzlei&oldid=803021;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281881;Judenplatz 11;384;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Schultergasse, beim Schwarzen Stern;Neubergisches Haus beim schwarzen Stern"
100;Wipplingerstraße, Hoffmannisches Haus;Wipplingerstraße, Hoffmannisches Haus;Wohnadresse;48.2115843;16.3716285;ab ca. 1656 Peter Hanns Hoffmann von Anckerskron, Hofkriegssecretarius;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 515. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wipplingerstra%C3%9Fe_6&oldid=511155;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2282033;Wipplingerstraße 6;386;Ihr. gn. Herr Peter Frantz erben;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Wipplingerstraße (Wilpingerstraße), Hoffmansches Haus;Wipplingerstraße (Wilpingerstraße), Hoffmansches Haus, eH;Wipplingerstraße, Hoffman, Dr., Haus;Wipplingerstraße, Hoffman, Sekretär Haus;Wipplingerstraße, Hoffman, Sekretär, Haus;Wipplingerstraße, Hoffman, Witwe, Haus;Wipplingerstraße, Hoffmanisces Haus;Wipplingerstraße, Hoffmanisches Haus"
101;Wipplingerstraße, Weidingerisches Haus;Wipplingerstraße, Weidingerisches Haus;Wohnadresse;48.2114621;16.3717816;ab 1696 Wolff Andre Weidinger, Traydaufschlagsgegenhandler;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 513. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Galvagnihaus&oldid=510434;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278790;Wipplingerstraße 1;387;;TM-TBP-Blatt;Adresse;Schottenviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Wipplingerstraße, Weidinger, Herr, Haus;Wipplingerstraße, Weidinger, Herr, Haus (1700-11-12)"
102;Wipplingerstraße Gatterburgisches Haus;Wipplingerstraße Gatterburgisches Haus;Wohnadresse;48.2114382;16.3714587;ab 1666 Maximilian Ernst Gattermayer von Gatterburg, kaisl. Rat und Handgraf in Österreich und Mähren;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 518. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wipplingerstra%C3%9Fe_3&oldid=511381;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281991;Wipplingerstraße 3;393;;TM-TBP-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Wipplingerstraße, Gatterburg, von, Herr, Haus;Wipplingerstraße, Gatterburgisches Haus;Wipplingerstraße, Gatterburgisches Haus, eH;Wipplingerstraße, Gattermayr von Gatterburg, Maximilian Haus"
103;Wipplingerstraße, Raideggisches Haus;"Wipplingerstraße, Raideggisches Haus;Wipplingerstraße, Khargisches Haus";Wohnadresse;48.211566;16.3712417;ab 1664 Ferdinand von Raidegg, kaiserl. Diener, äußerer Rat und städt. Mauthändler;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 518. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Jordangasse_1-3&oldid=510535;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281994;Wipplingerstraße 5;394;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;Wipplingerstraße, Radeggisches Haus
104;Schultergasse, Zu den zwei Delphinen;Schultergasse, Zu den zwei Delphinen;Wohnadresse;48.2110539;16.3715;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 507. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tuchlauben_25&oldid=511332;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278643;Tuchlauben 25;399;Mathias Painhoffr;TM-TBP-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;Schultergasse, 2 Delphine, bei den
105;Sternhof;Sternhof;Wohnadresse;48.2112371;16.3709751;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,2, Wien: Selbstverlag, 1952, S. 394. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Ledererhof&oldid=17688;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281979;Jordangasse 5;401;;TM-TBP-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;Schultergasse, Sternhof
106;Schultergassse, Zum kleinen Jordan;Schultergassse, Zum kleinen Jordan;Wohnadresse;48.2112214;16.3707115;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 507. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zum_kleinen_Jordan&oldid=511469;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281983;Jordangasse 7;402;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"kleiner Jordan;Schultergaße, beim kleinen Jordan;Schulerstraße, beim Kleinen Jordan"
107;Judenplatz, Zum großen Jordan;"Judenplatz, Zum großen Jordan;Judenplatz, Händlerisches Haus";Wohnadresse;48.2113568;16.3700877;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,2, Wien: Selbstverlag, 1952, S. 394. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zum_gro%C3%9Fen_Jordan&oldid=511487;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281855;Judenplatz 2;404;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Judenplatz, neben dem großen Jordan;Judenplatz, großer Jordan"
108;Judenplatz, kleines Wenighofferische Haus;Judenplatz, kleines Wenighofferische Haus;Wohnadresse;48.2112189;16.3700146;ab 1663 Maria Elisabeth Wenighoffer, Erbin;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,3, Wien: Selbstverlag, 1953, S. 481. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kurrentgasse_12&oldid=510658;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281957;Kurrentgasse 12;405;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;Judenplatz, kleines Wenighofferisches Haus
109;Judenplatz, Wenighofferisches Haus;Judenplatz, Wenighofferisches Haus;Wohnadresse;48.2113354;16.3698416;ab 1653 Matthias Wenighoffer, Hoffischmeister;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,2, Wien: Selbstverlag, 1952, S. 397. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Judenplatz_3-4&oldid=510652;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281858;Judenplatz 3-4;409;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Judenplatz, Wenighoferisches Haus;Judenplatz, Hof-Fischersches Haus (Wenighofferisches Haus)"
110;Judenplatz, Bartholomäisches Haus;"Judenplatz, Bartholomäisches Haus;Judenplatz, Küsterisches Haus";Wohnadresse;48.211421;16.3695081;ab 1679 Bartholmäus Küster, hofbefreiter Schneider;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,2, Wien: Selbstverlag, 1952, S. 402. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Judenplatz_5&oldid=510819;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281863;Judenplatz 5;411;Bartholom. Küstener erb;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;Judenplatz, Bartholomäisches Haus
111;Judenplatz, Zum Paris;Judenplatz, Zum Paris;Wohnadresse;48.2112764;16.3691288;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,2, Wien: Selbstverlag, 1951, S. 349. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Parisergasse_4&oldid=511135;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281962;Parisergasse 4;412;;TM-TBP-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Judenplatz, Pariß;Judenplatz, Paris (?);Judenplatz, Paris, beim;Judenplatz, Parisisches Haus"
112;Judenplatz, Zur goldenen Säule;Judenplatz, Zur goldenen Säule;Wohnadresse;48.2115363;16.369228;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,2, Wien: Selbstverlag, 1952, S. 404. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Judenplatz_6&oldid=510794;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281865;Judenplatz 6;417;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;Judenplatz, goldene Säule
113;Am Hof, Beim goldenen Einhorn;"Am Hof, Beim goldenen Einhorn;Am Hof, Brunwigsches Haus;Am Hof, Zum goldenen Einhorn";Wohnadresse;48.2114468;16.368616;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,2, Wien: Selbstverlag, 1952, S. 305. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Urbanihaus&oldid=511280;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281764?query=Einhorn;Am Hof 12;419;Joh. Brunwig erben;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Hof, auf dem, goldenes Einhorn, beim, eH;am Hof, eH beim goldenen Einhorn;Am Hof, Goldenes Einhorn"
114;Am Hof, Collaltoisches Haus;Am Hof, Collaltoisches Haus;Wohnadresse;48.2112704;16.369088;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,2, Wien: Selbstverlag, 1951, S. 262. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Collaltopalais&oldid=797581;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281770;Am Hof 13;420;Ihre Excel hr Anth. Franz. Graf von Collalto;TM-TBP-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Am Hof, Collalto, Graf, Haus;Am Hof, Collaltosches Haus, eH"
115;Profeßhaus;Profeßhaus;Wohnadresse;48.2106509;16.3681601;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,2, Wien: Selbstverlag, 1952, S. 229. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Am_Hof_2&oldid=806050;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2281686;Am Hof 2;421;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Profeßhaus;Profeßhaus, beim, Steindl, im;beim Profeßhaus/Profoshaus?, im Steindl"
116;Bognergasse, Bartholottisches Haus;Bognergasse, Bartholottisches Haus;Wohnadresse;48.2098214;16.3688232;ab 1694 Karl Bartholotti, Hofkammerrat und Kriegszahlmeister;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 251. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tuchlauben_3&oldid=511382;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278592;Tuchlauben 3;424;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;Bognergasse, Nähe, Bortholottisches Haus
117;Seitzerhof;Seitzerhof;Wohnadresse;48.2101638;16.3696187;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 262. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Seitzerhof&oldid=511093;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278603;Tuchlauben 7-7a;427;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;Saytzer Hof (Säitzerhof)
118;Alter Fleischmarkt, Zum goldenen Drachen;"Alter Fleischmarkt, Zum goldenen Drachen;Steindlgasse, Steindlisches Haus;Steindlgasse, Gundelisches Haus";Wohnadresse;48.2105275;16.3695866;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 349. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zum_Steindl&oldid=511454;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278692;Steindlgasse 4;429;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Alter Fleischmarkt, im Drachen;Alter Fleischmarkt, goldener Drache"
119;Steindlgasse, Wagelesches Haus;Steindlgasse, Wagelesches Haus;Wohnadresse;48.2104313;16.3697302;ab 1695 Franz Anton Wagele, Viertelkommissär bei der nö. Landschaft;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,2, Wien: Selbstverlag, 1951, S. 280. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tuchlauben_9&oldid=511345;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278613;Steindlgasse 2;430;;TM-TBP-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"Seizerhof, beim, Wagele, Adam, Haus;Seizerhof, beim, Wagele, Herr, Haus;Seizerhof, beim, Wäggelisches Haus;Seizerhof, gegenüber, Wägelesches Haus, eH;Seizerhof, Wägele, Herr, Haus;Seizerhof, Wägele/Wagerl, Adam, Haus;Seizerhof, Wägelisches Haus;Seizerhofgasse, Wagelisches Haus"
120;Kleeblattgasse, Zum kleinen Ofenloch;Kleeblattgasse, Zum kleinen Ofenloch;Wohnadresse;48.2106986;16.3699897;ursprünglich Teil der Judenstadt, kleines Ofenloch Durchhaus mit Bad;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 355. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kleines_Ofenloch&oldid=510762;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278698;Kleeblattgasse 5;432;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;Ofenloch, neben dem Bad
121;Kleeblattgasse, Zum großen Ofenloch;Kleeblattgasse, Zum großen Ofenloch;Wohnadresse;48.2108947;16.370177;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 360. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kleeblattgasse_9&oldid=510719;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278703;Kleeblattgasse 9;434;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"im Ofenloch;Ofenloch"
122;Beim Schönbrunn, Zum grünen Kleeblatt;"Beim Schönbrunn, Zum grünen Kleeblatt;Unter den Tuchläden, Güntherisches Haus";Wohnadresse;48.2103789;16.3703874;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 280. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tuchlauben_11&oldid=511339;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278621;Tuchlauben 11;437;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;"beim Schönbrunn, im Kleeblatt;Schönbrunn, beim, Kleeblatt"
123;Kohlmarkt, Zum goldenen Engel;Kohlmarkt, Zum goldenen Engel;Wohnadresse;48.2104692;16.3706157;;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 283. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zum_goldenen_Engel_(1)&oldid=511500;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278624;Tuchlauben 13;438;;HSV-Blatt;Adresse;Widmerviertel;Wien;https://www.geonames.org/2761369/vienna.html;Kohlmarkt, beim Goldenen Engel
