ID;primary_label;Latitude;Longitude;citation_lucienfeld_harrer;URI_wien_wiki;URI_lucienfeld_harrer;adress_today;adress_1822;adress_suttingerstadtplan;district;alternative_label
133;Alter Kienmarkt, Zur schwarzen Bürste;48.2118881;16.3741259;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 561. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Judengasse_16&oldid=510672;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279219;Judengasse 16;461;;Schottenviertel;"Schwarze Bürste;Bierhaus, neben der schwarzen Bürste"
134;Gammingerhof;48.2117561;16.3748072;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 601. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Gaminger_Hof&oldid=510425;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279260;Seitenstettengasse 5;464;;Stubenviertel;"Katzensteig, Gämminger Hof;Gamingerhof"
135;Alter Fleischmarkt, Zum Schabenrüssel;48.2116379;16.3759853;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 629. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Rotenturmstra%C3%9Fe_29&oldid=510904;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279291;Rotenturmstraße 29;481;;Stubenviertel;Schabenrößl
136;Dempfingerhof;48.2116052;16.3748019;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 605. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Pempflingerhof&oldid=534007;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279265;Seitenstettengasse 4;494;;Stubenviertel;Katzensteg, Dempfinger Hof
137;Alter Kienmarkt, Deimblisches Haus;48.2116976;16.3741108;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 559. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Judengasse_14&oldid=510675;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279217;Judengasse 14;495;;Schottenviertel;"Alter Kienmarkt (Kyhnmark), Dr. Deimbls Haus;schwarze Bürste, bei der, Deimblisches Haus"
138;Dreifaltigkeitshof;48.2111904;16.3748733;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 551. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Dreifaltigkeitshof_(1)&oldid=807821;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279209;Bauernmarkt, Fleischmarkt, Rotgasse;496;;Stubenviertel;bei der Heiligen Dreifaltigkeit
139;Lazenhof;48.2110709;16.3743318;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 547-551. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Lazenhof&oldid=807838;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279205;Bauernmarkt 21;500;;Stubenviertel;"Doktor Latzenhof;Dr. Lazenhof;Dr. Latzenhof"
140;Alter Kienmarkt, Wo der Glaser ist;48.2116504;16.3737353;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 535. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Judengasse_7&oldid=510761;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279192;Judengasse 7;506;;Schottenviertel;"Hoher Markt, Wo der Glaser ist;Hoher Markt, Glasserisches Haus"
141;Berghof;48.2112426;16.3727284;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,2, Wien: Selbstverlag, 1951, S. 461. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Alter_Berghof&oldid=510343;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278807;Hoher Markt 8-9;510;;Schottenviertel;"Hoher Markt, Berghof;Hoher Markt, Berghof (Bergoff)"
142;Hoher Markt, Wincklerisches Haus;48.2113859;16.3724591;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 461. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Kramhof&oldid=277418;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278807;Hoher Markt 8-9;511;;Schottenviertel;"Hoher Markt, Wincklerisches Haus;Hoher Markt, Winklerisches Haus"
143;Hoher Markt, Kirchmayerisches Haus;48.2111051;16.3731229;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 474. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Hoher_Markt_8-9&oldid=510531;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278820;Hoher Markt 8-9;512;;Schottenviertel;"Hoher Markt, Kirchmayrisches Haus;Hoher Markt, Kirchmayerisches Haus;Hoher Markt, Kirchmäyerisches Haus"
144;Hoher Markt, Pergisches Haus;48.2110191;16.3733236;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 477. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Ankerhof&oldid=805320;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278824;Hoher Markt 10-11;513;Ihr gn. Hr. Carl Perger erb;Stubenviertel;Hoher Markt, Pergerisches Haus
145;;48.2109111;16.3739041;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 685. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Fischhof_(1)&oldid=443274;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279353;Fischhof 2;;;Stubenviertel;Fischof
146;Fischhof, Zum blauen Wolf;48.2110617;16.3737891;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,3, Wien: Selbstverlag, 1952, S. 690. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Fischhof_2&oldid=510424;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279354;Fischhof 2;516;;Stubenviertel;"Fischhof, am, blauer Wolf;Fischhof, blauer Wolf;Fischhof, blauer Wolf, beim;Fischhof, im, blauer Wolf, beim"
147;Fischhof, Schoneggisches Haus;48.210994;16.3739477;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,2, Wien: Selbstverlag, 1951, S. 492. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Fischhof_2&oldid=510424;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279355;Fischhof 2;517;;Stubenviertel;"Fischhof, im, Schönegg, Paul, Haus;Fischhof, Schenäkh (?), Paul, Haus;Fischhof, Schenickh/Schöneckh, Paul Haus"
148;Fischhof, Gimpelmayerisches Haus;48.2108407;16.3742319;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,2, Wien: Selbstverlag, 1951, S. 391. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Fischhof_3&oldid=510431;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279358;Fischhof 3;519;;Stubenviertel;"Fischhof, Gimpelmayrisches Haus, eH;Fischhof, Gimplmayr/Gipplmayr Haus"
149;Hoher Markt, Apotheke Zum roten Krebs;48.2105689;16.3736472;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 492. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Ankerhof&oldid=805320;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278840;Hoher Markt 12;524;;Stubenviertel;"Hoher Markt, Apotheke zum roten Krebs, neben der;große Presse, roter Krebs, beim;bei den 7 Büchern, Roter Krebs;Hoher Markt, neben der Apotheke zum roten Krebs;Hoher Markt, beim roten Krebs;Roter Krebs bei den 7 Büchern;Hoher Markt, beim rothen Krebs;Hoher Markt, Nähe Apotheke zum roten Krebs"
150;Hoher Markt, Moserisches Haus;48.2106948;16.3727211;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,3, Wien: Selbstverlag, 1952, S. 743. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zum_Pelikan&oldid=511498;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278736;Hoher Markt 3;543;Hr. Daniel Mosers erb.;Kärntnerviertel;"Hoher Markt, Mosßer, Herr, Haus;Landskron, in der, Mossersches Haus;Landskron, in der, Mosßer, Herr, Haus"
151;Hoher Markt, Frischauerisches Haus;48.210903;16.3723371;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,3, Wien: Selbstverlag, 1952, S. 745. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Hoher_Markt_4&oldid=806217;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278744;Hoher Markt 4;544;Hr. Joh. Michael Frischenhauser;Kärntnerviertel;Hoher Markt, Frischenhauserisches Haus, eH
152;Bauernmarkt, Cischinisches Haus;48.2101371;16.3726488;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 743. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Generali-B%C3%BCrohaus&oldid=510598;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279414;Landskrongasse 1-3;546;hr. frantz von Zischain kay. Diener;Kärntnerviertel;Bauernmarkt, Zischkinisches Haus
153;Landskron, Tebbetmannisches Haus;48.2103617;16.3724379;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,2, Wien: Selbstverlag, 1951, S. 331. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Generali-B%C3%BCrohaus&oldid=510598;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279416;Landskrongasse 1-3;547;;Kärntnerviertel;Landskron, in der, Debetmanisches Haus
154;Landskron;48.2104778;16.372308;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 744-745. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Generali-B%C3%BCrohaus&oldid=510598;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279416;Landskrongasse 1-3;548;;Kärntnerviertel;Landskron
155;Untere Tuchläden, Weissmayrisches Haus;48.2107415;16.3713441;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,1, Wien: Selbstverlag, 1952, S. 315. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tuchlauben_16&oldid=511298;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278674;Tuchlauben 16;555;;Kärntnerviertel;Tuchläden, untern, Waißmayr, Michael, Haus
156;Untere Tuchläden, Zum roten Igel;48.2103349;16.370853;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 321. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Tuchlauben_12&oldid=511255;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278664;Tuchlauben 12;558;;Kärntnerviertel;Roter Igel
157;Unter den Tuchläden, Stroblisches Haus;48.2101685;16.3706568;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 2,1, Wien: Selbstverlag, 1952, S. 315. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zum_K%C3%BChfu%C3%9F&oldid=511239;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278658;Tuchlauben 10;560;;Kärntnerviertel;Untern Tuchläden, Stroblisches Haus
158;Untere Tuchläden, Wagenspergisches Haus;48.2100853;16.3703;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 110. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Sch%C3%B6nbrunnerhaus&oldid=511024;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278648;Tuchlauben 8;562;Ihr gn. Herr Adolph graf von Wagensperg;Widmerviertel;"Schönbrunn, bei, Wagensperg, Graf Haus;Schönbrunn, bei, Wagensperg, Gräfin, Witwe, Haus;Schönbrunn, bei, Wagenspergisches Haus, eH;Schönbrunn, beim, Wagenspergisches Haus;Schönbrunn, Wagensperg, Graf Haus;Tuchlauben (Tuchläden, untern), Wagenspergisches Haus"
159;Petersfreithof, Huebhaus;48.2096422;16.3696263;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 188. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Hubhaus&oldid=510544;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279114;Petersplatz 7;564;;Widmerviertel;"unter den Tuchläden, beim Huebhaus;bei der Stadtwaage, eH;neben der Stadtwaage;Petersfriedhof, ksl. Hubhaus (NÖ Vizedomamt)"
160;Graben, Hintereggerisches Haus;48.2095021;16.3688858;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 118. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Graben_21&oldid=510607;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279032;Graben 21;568;;Widmerviertel;Graben, Hintereckherisches Haus
161;Graben, Prianisches Haus;48.2091876;16.3693253;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 118. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Graben_22&oldid=510521;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279041;Graben 22;571;;Widmerviertel;"Graben, Brianisches Haus (Pilatisches Haus);Graben, Brianisches Haus;Graben, Preanisches Haus"
162;Graben, Fernerisches Haus;48.2093288;16.3691456;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 698. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Graben_21&oldid=510607;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279039;Graben 21;572;Martin Ferner;Widmerviertel;"Graben, Fernerische Erben, Haus;Graben, Fernerisches/Fehrnerisches Haus;Graben, Fernersche Erben, Haus;Graben, Fernersches Haus"
163;Petersfreithof, Järitzisches Haus;48.20973;16.3704442;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 198. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zu_den_vier_Jahreszeiten_(1)&oldid=511205;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279124;Petersplatz 9;575;;Kärntnerviertel;Petersfriedhof, Matzisches Haus (Jaritzisches Haus)
164;Petersfreithof, Radoltisches Haus;48.2094532;16.3709275;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,3, Wien: Selbstverlag, 1952, S. 706. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zur_Brieftaube_(1,_Bauernmarkt_1)&oldid=511473;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279366;Bauernmarkt 1;577;Ihr. gn. Hr. Clement Edlen v. Radolt;Kärntnerviertel;"Petersfreithof, Radoltisches Haus;Petersfreithof, Radoltsches Haus"
165;Bauernmarkt, Oderstötterisches Haus;48.2097346;16.3713095;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 707. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Bauernmarkt_3&oldid=797471;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279372;Bauernmarkt 3;578;Herr Bernhard Otterstötter;Kärntnerviertel;Alter Bauernmarkt, Oderstätterisches Haus
166;Bauernmarkt, Weinzierlisches Haus;48.2097723;16.3718681;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,3, Wien: Selbstverlag, 1952, S. 710. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zacherlhaus&oldid=511235;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279374;Bauernmarkt 5-7;579;Friedrich Müller von Löwenstein;Kärntnerviertel;Bauernmarkt, alter, Weinzirlische Erben, Haus
167;Bauernmarkt, Grienerisches Haus;48.2098742;16.372008;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,3, Wien: Selbstverlag, 1952, S. 730. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Bauernmarkt_9&oldid=797473;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279375;Bauernmarkt 9;580;hr. friedrich griener;Kärntnerviertel;"Bauernmarkt, alter, Grienerisches Haus;Bauernmarkt, alter, Grüenerisches Haus;Bauernmarkt, alter, Grüersches Haus, eH;Bauernmarkt, alter, Grünersches Haus, eH"
168;Bauernmarkt, Zschiedrichisches Haus;48.2099625;16.3722824;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,3, Wien: Selbstverlag, 1952, S. 730. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Generali-B%C3%BCrohaus&oldid=510598;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279379;Bauernmarkt 11;581;Andre Tschiedrich;Kärntnerviertel;Bauernmarkt, alter, Zschiederichsches Haus, eH
169;Bauernmarkt, Bei dem blauen Herrgott;48.2100618;16.3731012;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 730. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Bauernmarkt_14&oldid=797466;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279400;Bauernmarkt 14;583;;Kärntnerviertel;Bauernmarkt, bei dem blauen Herrgott
170;Bauernmarkt, Bei der weißen Traube;48.210149;16.3728664;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 727. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Bauernmarkt_12&oldid=510039;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279397;Bauernmarkt 12;584;Maria Magdalena Teutchmannnin;Kärntnerviertel;Alter Bauernmarkt, Weiße Taube
171;Bauernmarkt, Kirchhamerisches Haus;48.2098362;16.3726573;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,3, Wien: Selbstverlag, 1952, S. 722. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Grillparzerhof&oldid=510557;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279394;Bauernmarkt 10;585;Lorentz Kirchhammer erben;Kärntnerviertel;"Bauernmarkt, alter, Khierchmayrisches Haus;Bauernmarkt, alter, Khirchbergisches Haus;Bauernmarkt, alter, Khirchhamerisches Haus;Bauernmarkt, alter, Kierchhannberisches/Khirchhamerisches Haus;Bauernmarkt, alter, Kirchhamberisches Haus;Bauernmarkt, alter, Kirchheimerisches/Kirchhamerisches/Kierchmayrisches Haus"
172;Bauernmarkt, Quentinisches Haus;48.2097647;16.3724463;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,3, Wien: Selbstverlag, 1952, S. 722. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Bauernmarkt_8&oldid=533961;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279392;Bauernmarkt 8;586;Hr. Johannes Thomas von Quändel;Kärntnerviertel;Bauernmarkt, alter, Quentlsches Haus, eH
173;Bauernmarkt, Liechtensteinisches Haus;48.2096787;16.3721467;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,3, Wien: Selbstverlag, 1952, S. 717. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Bauernmarkt_6&oldid=797472;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279391;Bauernmarkt 6;587;Hartman Fürst von Lichtenstein;Kärntnerviertel;"Bauernmarkt, alter, Liechtenstein, Fürst, Haus;Bauernmarkt, alter, Liechtensteinsches (?) Haus, eH;Bauernmarkt, alter, Liechtensteinsches Haus, eH"
174;Gundelhof;48.2095387;16.3717305;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 718. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Gundelhof&oldid=510414;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279388;Bauernmarkt 4;588;Daniel Lazarus Springer kay. Rath;Kärntnerviertel;"Gundlhof;Gundelhof"
175;Margarethenhof;48.2092901;16.3711389;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 717. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Margaretenhof_(1)&oldid=510899;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279386;Bauernmarkt 2-2a;589;Wolf Wilhelm Pramer;Kärntnerviertel;"Margarethenhof;Margarethenhof, eH"
176;Petersfreithof, Beim goldenen Fäßl;48.2091893;16.3710322;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 714. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Bauernmarkt_2&oldid=797469;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279383;Bauernmarkt 2;590;;Kärntnerviertel;"Petersfriedhof, goldenes Fäßl, beim, eH;Petersfriedhof, goldenes Faßl, beim, eH;beim Goldenen Fäßl, eH"
177;Brandstätte, Romottisches Haus;48.2088892;16.3711061;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 182. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Goldschmiedgasse_8&oldid=510597;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279448;Goldschmiedgasse 8;592;Johann Thamen von (…);Kärntnerviertel;"Brandstätte, Ramotische Erben, Haus;Brandstätte, Romothische Erben Haus;Brandstätte, Romottische Erben, Haus;Petersfreithof, Romoto/Romotto, Johann, Haus"
178;Bei St. Stephan, Apothek Zum goldenen Löwen;48.2086201;16.3719592;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1952, S. 769. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Zum_goldenen_L%C3%B6wen_(1,_Apotheke)&oldid=800033;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279441;Stephansplatz 11;595;;Kärntnerviertel;"bei St. Stephan, Goldener Löwe in der Apotheke;Apotheke zum goldenen Löwen"
179;Graben, Koglerisches Haus;48.2084851;16.3711125;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 151. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Graben_30&oldid=510481;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279076;Graben 30;601;;Widmerviertel;Graben, auf dem, Koglerisches Haus
180;Petersfreithof, Niederpüchlerisches Haus;48.2091822;16.3701917;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 186. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Petersplatz_1&oldid=824098;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279108;Petersplatz 1;604;;Widmerviertel;"Petersfreithof, Niderpichler, Balthasar, Haus;Petersfreithof, Nidterpichler, Balthasar, Haus"
181;Petersfreithof, Wo sich der Hahn in den Spiegel schaut;48.2093117;16.3704224;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 209. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Wo_der_Hahn_sich_im_Spiegel_schaut&oldid=97283;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279135;Petersplatz 11;607;;Widmerviertel;"Petersfriedhof, Wo sich der Hahn in den Spiegel schaut;Peersfriedhof, wo sich der Hahn in den Spiegel schaut;Petersfriedhof, wo der Hahn in den Spiegel schaut"
182;Petersfreithof, Kinskysches Haus;48.2090707;16.3700644;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 186. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Petersplatz_2&oldid=534093;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279112;Petersplatz 2;610;;Widmerviertel;"Petersfriedhof, Kinskysches Haus;Petersfriedhof, Kinskisches Haus"
183;Petersfreithof, Frechisches Haus;48.209056;16.3697699;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 127. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Graben_26&oldid=510470;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279051;Petersplatz 3;614;;Widmerviertel;Petersfriedhof, Frechisches Haus
184;Petersfreithof, Legrandisches Haus;48.2088828;16.3697865;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 131. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Graben_27&oldid=510496;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279056;Graben 27;615;Peter Legrand Perükenmacher;Widmerviertel;"Graben, Legaran, Peter, Haus;Graben, Legrand, Peter, Haus;Graben, Legrandsches Haus, eH"
185;Graben, Engelbrechtisches Haus;48.2088214;16.3699019;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 164. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Graben_28&oldid=510542;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2279058;Graben 28;616;Hans Engelbrech kürschner;Widmerviertel;"Graben, Englbrechtisches Haus;Graben, Englbrechtsches Haus, eH"
186;Graben, Satterisches Haus;48.2087022;16.3701026;Lucienfeld-Harrer, Paul, Wien. Seine Häuser, Menschen und Kultur, 1,1, Wien: Selbstverlag, 1951, S. 33. (Manuskript);https://www.geschichtewiki.wien.gv.at/index.php?title=Graben_28&oldid=510542;https://www.digital.wienbibliothek.at/wbrobv/content/pageview/2278954;Graben 28;617;Crist. Satter goldsch.;Widmerviertel;Graben, Satter, Maria, Witwe, Haus
